id,nom,type,difficulte,dureeMinutes,equipement,objectif,niveauRecommande,consigneSecurite,muscles_cibles,intensite_score,calories_estimees
1,Pompes explosives,FORCE,INTERMEDIAIRE,10,Aucun,puissance force explosivité haut du corps,INTERMEDIAIRE,Garder le dos droit ne pas cambrer,pectoraux triceps épaules,7,85
2,Squats sautés,FORCE,INTERMEDIAIRE,12,Aucun,puissance jambes explosivité détente,INTERMEDIAIRE,Atterrir en douceur genoux alignés avec les pieds,quadriceps fessiers mollets,7,110
3,Gainage dynamique,FORCE,DEBUTANT,8,Tapis,stabilité core renforcement tronc,DEBUTANT,Ne pas creuser le dos respirer régulièrement,abdominaux obliques lombaires,4,45
4,Tractions australiennes,FORCE,DEBUTANT,10,Barre basse,dos biceps tirage force,DEBUTANT,Garder le corps aligné contrôler la descente,dorsaux biceps trapèzes,5,65
5,Sprint intervalles 30/30,CARDIO,AVANCE,15,Aucun,vitesse endurance cardio intervalles,AVANCE,Échauffement obligatoire arrêter en cas de douleur,quadriceps mollets cardio,9,180
6,Course continue modérée,CARDIO,DEBUTANT,20,Aucun,endurance fond cardio aérobie,DEBUTANT,Maintenir une allure conversationnelle,jambes cardio poumons,4,150
7,Burpees,CARDIO,INTERMEDIAIRE,10,Aucun,cardio complet explosivité endurance,INTERMEDIAIRE,Adapter le rythme à son niveau ne pas négliger la technique,corps complet cardio,8,130
8,Corde à sauter,CARDIO,DEBUTANT,12,Corde à sauter,coordination cardio agilité rythme,DEBUTANT,Surface souple chaussures adaptées,mollets épaules cardio,5,120
9,Étirements dynamiques,MOBILITE,DEBUTANT,10,Aucun,souplesse échauffement mobilité articulaire,DEBUTANT,Mouvements fluides ne pas forcer,hanches épaules dos,2,30
10,Yoga sportif,MOBILITE,DEBUTANT,15,Tapis,récupération souplesse relaxation mobilité,DEBUTANT,Respecter ses limites ne pas forcer les postures,corps complet flexibilité,3,40
11,Mobilité des hanches,MOBILITE,DEBUTANT,10,Aucun,hanches mobilité prévention blessures,DEBUTANT,Mouvements contrôlés pas de rebonds,hanches fléchisseurs adducteurs,2,25
12,Foam rolling récupération,MOBILITE,DEBUTANT,12,Foam roller,récupération massage détente musculaire,DEBUTANT,Éviter les articulations rouler lentement,fascias muscles tendus,2,20
13,Dribble slalom,TECHNIQUE,INTERMEDIAIRE,15,Ballon plots,dribble technique contrôle balle agilité,INTERMEDIAIRE,Surface plane chaussures adaptées,jambes coordination pieds,5,75
14,Passes courtes en mouvement,TECHNIQUE,DEBUTANT,12,Ballon,passes précision technique collective,DEBUTANT,Communication entre partenaires,jambes coordination vision,4,60
15,Tirs cadrés,TECHNIQUE,INTERMEDIAIRE,15,Ballon but,tir précision finition technique,INTERMEDIAIRE,Échauffement des jambes avant les frappes,quadriceps mollets coordination,6,80
16,Jeu réduit 3v3,TECHNIQUE,INTERMEDIAIRE,20,Ballon chasubles,tactique décision collective jeu,INTERMEDIAIRE,Respect des règles pas de tacles dangereux,corps complet tactique,7,140
17,Conduite de balle en vitesse,TECHNIQUE,AVANCE,12,Ballon,vitesse technique contrôle conduite,AVANCE,Terrain dégagé attention aux obstacles,jambes coordination vitesse,8,95
18,Fentes marchées,FORCE,DEBUTANT,10,Aucun,jambes équilibre renforcement stabilité,DEBUTANT,Genou ne dépasse pas les orteils dos droit,quadriceps fessiers ischio-jambiers,5,70
19,Planche latérale,FORCE,INTERMEDIAIRE,8,Tapis,obliques stabilité core latéral,INTERMEDIAIRE,Aligner tête épaules hanches pieds,obliques abdominaux épaules,6,50
20,Montées de genoux rapides,CARDIO,INTERMEDIAIRE,8,Aucun,cardio vitesse coordination jambes,INTERMEDIAIRE,Garder le buste droit monter les genoux haut,quadriceps abdominaux cardio,7,100
21,Shadow boxing,CARDIO,INTERMEDIAIRE,10,Aucun,cardio coordination réflexes vitesse,INTERMEDIAIRE,Ne pas hyperextendre les coudes,épaules bras cardio,7,110
22,Étirements ischio-jambiers,MOBILITE,DEBUTANT,8,Aucun,souplesse ischio-jambiers prévention,DEBUTANT,Ne pas rebondir maintenir la position,ischio-jambiers mollets,2,20
23,Rotation thoracique,MOBILITE,DEBUTANT,8,Aucun,mobilité thoracique dos rotation,DEBUTANT,Mouvement lent et contrôlé,dos thorax épaules,2,18
