id,nom,type,difficulte,dureeMinutes,equipement,objectif,niveauRecommande,consigneSecurite,muscles_cibles,intensite_score,calories_estimees,text_features,type_encoded,difficulte_encoded
1,Pompes explosives,FORCE,INTERMEDIAIRE,10,Aucun,puissance force explosivité haut du corps,INTERMEDIAIRE,Garder le dos droit ne pas cambrer,pectoraux triceps épaules,7,85,FORCE INTERMEDIAIRE puissance force explosivité haut du corps pectoraux triceps épaules INTERMEDIAIRE Aucun,1,2
2,Squats sautés,FORCE,INTERMEDIAIRE,12,Aucun,puissance jambes explosivité détente,INTERMEDIAIRE,Atterrir en douceur genoux alignés avec les pieds,quadriceps fessiers mollets,7,110,FORCE INTERMEDIAIRE puissance jambes explosivité détente quadriceps fessiers mollets INTERMEDIAIRE Aucun,1,2
3,Gainage dynamique,FORCE,DEBUTANT,8,Tapis,stabilité core renforcement tronc,DEBUTANT,Ne pas creuser le dos respirer régulièrement,abdominaux obliques lombaires,4,45,FORCE DEBUTANT stabilité core renforcement tronc abdominaux obliques lombaires DEBUTANT Tapis,1,1
4,Tractions australiennes,FORCE,DEBUTANT,10,Barre basse,dos biceps tirage force,DEBUTANT,Garder le corps aligné contrôler la descente,dorsaux biceps trapèzes,5,65,FORCE DEBUTANT dos biceps tirage force dorsaux biceps trapèzes DEBUTANT Barre basse,1,1
5,Sprint intervalles 30/30,CARDIO,AVANCE,15,Aucun,vitesse endurance cardio intervalles,AVANCE,Échauffement obligatoire arrêter en cas de douleur,quadriceps mollets cardio,9,180,CARDIO AVANCE vitesse endurance cardio intervalles quadriceps mollets cardio AVANCE Aucun,0,0
6,Course continue modérée,CARDIO,DEBUTANT,20,Aucun,endurance fond cardio aérobie,DEBUTANT,Maintenir une allure conversationnelle,jambes cardio poumons,4,150,CARDIO DEBUTANT endurance fond cardio aérobie jambes cardio poumons DEBUTANT Aucun,0,1
7,Burpees,CARDIO,INTERMEDIAIRE,10,Aucun,cardio complet explosivité endurance,INTERMEDIAIRE,Adapter le rythme à son niveau ne pas négliger la technique,corps complet cardio,8,130,CARDIO INTERMEDIAIRE cardio complet explosivité endurance corps complet cardio INTERMEDIAIRE Aucun,0,2
8,Corde à sauter,CARDIO,DEBUTANT,12,Corde à sauter,coordination cardio agilité rythme,DEBUTANT,Surface souple chaussures adaptées,mollets épaules cardio,5,120,CARDIO DEBUTANT coordination cardio agilité rythme mollets épaules cardio DEBUTANT Corde à sauter,0,1
9,Étirements dynamiques,MOBILITE,DEBUTANT,10,Aucun,souplesse échauffement mobilité articulaire,DEBUTANT,Mouvements fluides ne pas forcer,hanches épaules dos,2,30,MOBILITE DEBUTANT souplesse échauffement mobilité articulaire hanches épaules dos DEBUTANT Aucun,2,1
10,Yoga sportif,MOBILITE,DEBUTANT,15,Tapis,récupération souplesse relaxation mobilité,DEBUTANT,Respecter ses limites ne pas forcer les postures,corps complet flexibilité,3,40,MOBILITE DEBUTANT récupération souplesse relaxation mobilité corps complet flexibilité DEBUTANT Tapis,2,1
